config_id,Hnode,Hlink,block_creation_interval,hashrate_concentration,max_block_size,inbound_connections,outbound_connections,validator_count,number_of_attackers
386,6.208001869,4.342706246,381,0.897415377,2.947515159,61,7,940,158
387,7.098257103,6.130439759,539,0.558288716,7.210552291,83,5,602,30
388,4.059217432,2.858140376,118,0.714647212,5.64793493,83,4,392,21
389,3.465720926,1.157121515,455,0.024367286,0.626385617,72,5,815,76
390,0.603503919,7.247103516,476,0.728566754,1.751091345,112,4,572,143
391,8.892010348,0.95719611,432,0.425911205,4.975147073,31,5,970,205
392,6.736958454,0.984436808,409,0.689508868,1.304340291,72,3,480,35
393,8.953815178,8.163739182,316,0.233967017,6.458161131,36,6,37,6
394,5.815979733,2.827161429,116,0.964222409,0.59806648,123,8,348,76
395,5.535494415,5.22824657,300,0.636280639,7.603343456,1,5,426,17
396,7.352248627,0.169334073,102,0.48642482,2.62902805,81,2,840,144
397,2.724189671,2.179078888,232,0.035595273,7.673104258,46,2,470,80
398,8.525974493,1.952627145,233,0.376359791,6.211957228,33,5,256,27
399,0.983046364,5.576920734,115,0.236398574,6.986448079,80,1,954,55
400,4.013904191,3.70715297,114,0.409871582,0.250036031,77,3,78,15
401,4.879270367,0.473625505,412,0.33645421,3.180498962,61,4,560,140
402,8.728329587,0.542410257,137,0.002769951,3.350844442,87,6,688,104
403,9.020840343,3.724107204,96,0.873444978,1.684510813,101,3,474,106
404,5.749485696,3.195873951,595,0.267787223,1.025540297,67,7,281,49
405,1.52912188,7.449302079,172,0.33041515,5.190213134,18,7,921,162
406,6.828268209,9.240669144,132,0.455505865,1.616182734,25,6,45,8
407,8.805710427,6.275957863,430,0.635165894,3.987368264,122,4,161,7
408,9.590546874,2.518483023,71,0.119616794,5.929490671,69,5,230,11
409,5.598534156,0.838182366,438,0.064243371,4.755508472,44,7,447,0
410,6.333003028,5.507200517,285,0.716194215,4.015034392,30,3,340,85
411,4.69504641,7.474493533,585,0.482914912,3.494250666,64,7,284,51
412,0.923085474,9.032109764,416,0.010851889,5.74189326,76,8,807,49
413,3.028061009,9.648862938,158,0.251898239,4.44792711,48,7,410,0
414,0.183124324,4.368950563,252,0.646723426,0.753518434,105,6,240,46
415,2.674754655,1.00587137,104,0.216486161,3.242487683,10,3,213,0
416,6.911695738,2.055150654,265,0.285253233,5.450384795,118,6,652,163
417,0.553615288,0.561003014,453,0.27424721,1.64378858,12,1,337,14
418,3.03532402,8.092421224,67,0.30547669,1.470188725,23,5,24,6
419,9.610162706,1.432927708,134,0.98641994,3.91555543,24,6,590,0
420,7.530976736,0.653602976,511,0.690384332,5.136751408,19,7,951,136
421,0.5339175,6.102644907,255,0.947872055,4.535365427,125,2,735,0
422,6.777668904,7.302813142,565,0.485953418,2.014620414,121,4,728,29
423,2.632453331,6.671079931,249,0.44958674,3.596958977,77,4,624,40
424,2.049522336,7.225356782,80,0.656544253,3.347867877,90,1,91,13
425,4.030340949,9.301459447,111,0.735228157,7.732708279,33,2,407,77
426,8.405209338,4.869007659,197,0.062128786,3.805322385,119,2,168,15
427,2.133651877,5.991690905,500,0.519920116,5.957725533,106,1,466,0
428,5.28900258,6.796118627,302,0.214535362,5.349204971,24,4,368,92
429,3.973538487,8.48745898,281,0.40156022,1.806687524,96,5,742,120
430,6.692532685,8.224416982,293,0.961149795,0.983275781,62,1,515,63
431,2.17166156,2.214566951,168,0.335076364,2.83851488,107,1,675,132
432,2.032111995,0.758993944,320,0.130574227,0.847313801,118,3,397,81
433,0.200407186,9.777155506,370,0.966673369,6.787134493,99,3,496,0
434,6.626078682,7.365564816,334,0.042715495,7.059778949,121,6,203,39
435,2.836104474,0.280551582,226,0.98121074,4.566574758,93,5,323,58
436,4.271762755,5.118929706,82,0.404679078,2.242827214,101,1,576,0
437,9.362294404,7.136931349,117,0.202342704,6.602847804,8,7,260,17
438,4.781235113,4.545157605,470,0.051314624,4.989364705,24,4,656,164
439,8.887622017,4.008355645,510,0.092236561,0.46374871,6,4,961,200
440,3.843011278,8.664609931,120,0.157862122,5.619303228,120,2,341,0
441,5.994220366,2.612031383,279,0.421760242,4.36765458,84,6,208,52
442,6.452715998,0.694913772,90,0.750956226,6.276446813,79,5,263,0
443,1.218829014,9.115894053,305,0.798888245,5.425006878,2,8,65,9
444,5.009948483,1.030789245,570,0.514527292,7.342442161,106,1,555,46
445,4.387311158,9.3178268,167,0.329639293,4.08290045,79,3,363,61
446,9.521154044,4.584793048,253,0.55010536,2.178010538,118,4,273,37
447,8.389226193,6.821144376,351,0.671094457,0.744640064,108,6,624,156
448,7.249733076,4.197632268,401,0.195508601,2.83451619,38,5,72,13
449,7.730120575,9.445889782,434,0.775214549,4.631643456,32,4,756,0
450,5.433995272,6.908521418,331,0.00903888,1.857973127,81,3,148,0
451,8.41699786,8.052628015,577,0.973102804,6.369375949,61,6,619,112
452,4.558416671,8.179056966,534,0.863676899,2.505592902,117,6,334,0
453,2.972780224,1.363616005,348,0.758173363,1.920236926,25,6,195,29
454,5.111897008,5.977506423,324,0.82231586,1.797429077,4,6,306,43
455,0.379532934,1.901315873,364,0.115643732,5.433492693,57,6,907,37
456,7.238025293,5.077896663,521,0.198626492,3.738583364,15,6,269,0
457,2.398215182,3.257737575,247,0.749670784,6.187812439,41,1,42,7
458,4.448015183,3.941342402,363,0.397720463,2.670089656,122,7,792,198
459,3.765236627,4.448372108,64,0.983694869,6.023001764,87,3,932,190
460,4.106989039,1.338936902,308,0.858981399,1.520684289,32,2,955,111
461,1.141668397,5.03952633,467,0.931234004,0.648459493,72,8,754,38
462,0.281175342,4.947229694,435,0.463123946,0.367447622,20,4,120,26
463,6.950029566,2.848094017,567,0.103271616,2.918169899,110,3,784,116
464,6.597876572,1.712977568,311,0.436075971,0.282663056,101,3,117,5
465,3.377456762,8.731062364,267,0.560202366,2.078489492,73,2,300,34
466,2.812884702,1.643031064,461,0.019860778,1.217709805,82,4,518,72
467,7.796660043,2.571640001,125,0.04023078,1.704287423,3,2,792,83
468,9.176034336,7.11422561,254,0.922030785,5.612044828,4,2,530,103
469,8.235054641,6.869352998,326,0.875628952,3.149939894,44,1,837,0
470,3.232498188,0.589378613,305,0.650107951,2.555057797,65,7,66,5
471,2.991271223,0.15255216,378,0.844454006,2.446157989,95,4,776,194
472,9.967224924,0.131824341,213,0.402591206,7.121149843,64,3,167,0
473,4.954374011,8.914956041,478,0.022953819,3.968032895,28,8,110,21
474,3.798474089,6.436867489,130,0.684081659,7.011474623,7,4,132,13
475,3.960388322,0.440253045,355,0.540486127,5.473527033,27,7,472,76
476,8.296367084,9.853385982,110,0.071577558,6.333613706,66,3,757,162
477,8.358647183,8.294105775,199,0.31509015,3.974192826,97,7,851,67
478,3.062540641,4.657770332,537,0.10942136,7.408280335,39,3,40,6
479,3.723453247,4.326061943,578,0.184660372,4.327681359,82,8,713,96
480,5.133198818,6.77178319,447,0.955993878,3.6735024,9,8,797,126
481,5.667280069,7.315114589,572,0.638505778,6.065162986,92,2,991,103
482,3.880703171,5.325184985,355,0.58386476,1.084945598,65,1,536,134
483,4.287476849,6.558530384,349,0.167750779,2.991272361,46,5,654,86
484,7.186882555,1.594512196,337,0.247634194,4.774940608,86,2,305,31
485,5.217052952,1.539185044,83,0.254282068,3.482995292,51,2,52,13
486,9.496307105,9.273722461,463,0.295706754,5.203304526,59,1,325,59
487,5.058107359,9.631253782,204,0.14273246,1.197107581,109,2,833,97
488,2.704262265,2.578128013,528,0.803159555,2.572609224,49,4,694,103
489,9.534325177,3.624705354,66,0.349055711,1.254666464,20,4,365,44
490,4.588051432,1.298209192,291,0.151110328,5.218808943,51,3,959,135
491,7.27225846,6.199693272,479,0.687698694,2.303661267,22,7,978,59
492,9.910688919,0.628561881,223,0.553811428,0.865329534,118,6,351,34
493,0.789250603,5.920609324,407,0.372196091,6.886613887,71,2,175,33
494,8.589521456,2.445110862,166,0.590002341,3.86694675,102,2,500,125
495,1.557649292,9.871510688,97,0.013959482,3.642610214,60,4,448,53
496,6.389781386,7.027050239,492,0.248483255,0.573782278,84,8,702,0
497,1.937936644,3.568670159,139,0.522682945,2.415749863,58,7,936,121
498,5.643198121,9.402718092,241,0.10092736,2.090813552,52,7,650,140
499,4.980650261,7.421218517,237,0.885439598,4.948240942,89,3,683,108
500,0.221761463,9.165568453,295,0.179457224,6.647521524,121,2,669,139
